playerID,birthYear,nameFirst,nameLast
aaronha01,1934,Hank,Aaron
aaronto01,1939,Tommie,Aaron
aasedo01,1954,Don,Aase
abadan01,1972,Andy,Abad
abadijo01,1854,John,Abadie
abbated01,1877,Ed,Abbaticchio
abbeybe01,1869,Bert,Abbey
abbeych01,1866,Charlie,Abbey
abbotda01,1862,Dan,Abbott
abbotfr01,1874,Fred,Abbott
abbotgl01,1951,Glenn,Abbott
abbotje01,1972,Jeff,Abbott
abbotji01,1967,Jim,Abbott
abbotku01,1969,Kurt,Abbott
abbotky01,1968,Kyle,Abbott
abbotod01,1888,Ody,Abbott
abbotpa01,1967,Paul,Abbott
aberal01,1927,Al,Aber
abercda01,1851,Francis,Abercrombie
abernbi01,1929,Bill,Abernathie
abernbr01,1977,Brent,Abernathy
abernte01,1921,Tal,Abernathy
abernte02,1933,Ted,Abernathy
abernwo01,1915,Woody,Abernathy
aberscl01,1921,Cliff,Aberson
ablesha01,1883,Harry,Ables
abnersh01,1966,Shawn,Abner
abramca01,1924,Cal,Abrams
abramge01,1899,George,Abrams
abregjo01,1962,Johnny,Abrego
abreubo01,1974,Bobby,Abreu
abreujo01,1913,Joe,Abreu
abstebi01,1883,Bill,Abstein
acevejo01,1977,Jose,Acevedo
aceveju01,1970,Juan,Acevedo
ackerji01,1958,Jim,Acker
ackerto01,1930,Tom,Acker
acklefr01,1937,Fritz,Ackley
acostcy01,1946,Cy,Acosta
acosted01,1944,Ed,Acosta
acostjo01,1891,Jose,Acosta
acostme01,1896,Merito,Acosta
acrema01,1968,Mark,Acre
,1913,Bill,Adair
adairje01,1936,Jerry,Adair
adairji01,1907,Jimmy,Adair
adamsac01,1910,Ace,Adams
adamsba01,1882,Babe,Adams
adamsbe01,1891,Bert,Adams
adamsbo01,1901,Bob,Adams
adamsbo02,1907,Bob,Adams
adamsbo04,1952,Bob,Adams
adamsbo03,1921,Bobby,Adams
adamsbu01,1915,Buster,Adams
adamsda01,1887,Dan,Adams
adamsdi01,1920,Dick,Adams
adamsdo01,1943,Doug,Adams
adamsge01,,George,Adams
adamsgl01,1947,Glenn,Adams
adamshe01,1928,Herb,Adams
adamsji01,1868,Jim,Adams
adamsjo01,1877,Joe,Adams
adamska01,1891,Karl,Adams
adamsmi02,1948,Mike,Adams
adamsre01,1921,Red,Adams
adamsri01,1878,Rick,Adams
adamsri02,1959,Ricky,Adams
adamssp01,1894,Sparky,Adams
adamssp02,1898,Spencer,Adams
adamste01,1973,Terry,Adams
adamswi01,1890,Willie,Adams
adamswi02,1972,Willie,Adams
adamsjo02,1971,Joel,Adamson
adamsmi01,1947,Mike,Adamson
adcocjo01,1927,Joe,Adcock
addisbo01,1925,Bob,Addis
adducji01,1959,Jim,Adduci
addybo01,1845,Bob,Addy
aderhmo01,1915,Morrie,Aderholt
adkinde01,1918,Dewey,Adkins
adkindi01,1920,Dick,Adkins
adkindo01,1872,Doc,Adkins
adkingr01,1897,Grady,Adkins
adkinst01,1964,Steve,Adkins
adkinhe01,1874,Henry,Adkinson
adlesda01,1943,Dave,Adlesh
afenitr01,1963,Troy,Afenir
agbaybe01,1971,Benny,Agbayani
ageeto01,1942,Tommie,Agee
agganha01,1929,Harry,Agganis
aglerjo01,1887,Joe,Agler
agnewsa01,1887,Sam,Agnew
agostju01,1958,Juan,Agosto
aguaylu01,1959,Luis,Aguayo
aguilri01,1961,Rick,Aguilera
aguirha01,1931,Hank,Aguirre
ahearch01,,Charlie,Ahearn
ahearpa01,1969,Pat,Ahearne
aikenwi01,1954,Willie,Aikens
aingeda01,1959,Danny,Ainge
ainsmed01,1890,Eddie,Ainsmith
ainswku01,1978,Kurt,Ainsworth
aitchra01,1887,Raleigh,Aitchison
aitonge01,1890,George,Aiton
akejo01,1861,John,Ake
akerja01,1940,Jack,Aker
akerfda01,1962,Darrel,Akerfelds
akersbi01,1904,Bill,Akers
akersje01,1887,Jerry,Akers
albagi01,1960,Gibson,Alba
albanjo01,1933,Joe,Albanese
alberjo01,1969,Jose,Alberro
alberbu01,1950,Butch,Alberts
albercy01,1882,Cy,Alberts
albergu01,1861,Gus,Alberts
albosed01,1918,Ed,Albosta
albreed01,1929,Ed,Albrecht
albrija01,1921,Jack,Albright
alburvi01,1947,Vic,Albury
alcalsa01,1952,Santo,Alcala
alcanis01,1971,Israel,Alcantara
alcarlu01,1941,Luis,Alcaraz
alcocsc01,1885,Scotty,Alcock
alderda01,1918,Dale,Alderson
aldresc01,1968,Scott,Aldred
aldremi01,1961,Mike,Aldrete
aldrija01,1961,Jay,Aldrich
aldrico01,1979,Cory,Aldridge
aldrivi01,1893,Vic,Aldridge
alenoch01,1917,Chuck,Aleno
alexabo01,1922,Bob,Alexander
alexada01,1903,Dale,Alexander
alexado01,1950,Doyle,Alexander
alexaga01,1953,Gary,Alexander
alexage01,1968,Gerald,Alexander
alexahu01,1917,Hugh,Alexander
alexama02,1971,Manny,Alexander
alexama01,1947,Matt,Alexander
alexani01,1858,Nin,Alexander
alexape01,1887,Pete,Alexander
alexawa01,1891,Walt,Alexander
alfonan01,1972,Antonio,Alfonseca
alfoned01,1973,Edgardo,Alfonzo
alicelu01,1965,Luis,Alicea
allanan01,1961,Andy,Allanson
allarbr01,1958,Brian,Allard
allenbe01,1939,Bernie,Allen
allenbo01,1867,Bob,Allen
allenbo02,1894,Bob,Allen
allenbo03,1914,Bob,Allen
allenbo04,1937,Bob,Allen
allench01,1975,Chad,Allen
allendi01,1942,Dick,Allen
allendu01,1972,Dusty,Allen
allenet01,1904,Ethan,Allen
allenfr01,1888,Frank,Allen
allenha01,1846,Ham,Allen
allenha02,1940,Hank,Allen
allenhe01,1863,Hezekiah,Allen
allenho01,1899,Horace,Allen
allenja01,1855,Jack,Allen
allenja02,1958,Jamie,Allen
allenjo01,1890,John,Allen
allenjo02,1904,Johnny,Allen
allenki01,1953,Kim,Allen
allenll01,1950,Lloyd,Allen
allenmy01,1854,Myron,Allen
allenne01,1958,Neil,Allen
allenni01,1888,Nick,Allen
allenpe01,1868,Pete,Allen
allenro02,1959,Rod,Allen
allenro01,1943,Ron,Allen
allensl01,1886,Sled,Allen
allenga01,1955,Gary,Allenson
